Year,CanESM5,CESM2,GFDL-ESM4,MIROC6,UKESM1
2015,9.376949564615927,9.262734985351585,9.733377075195335,11.615508015950525,9.303043619791708
2016,10.408662414550804,10.071160888671898,9.452274576822958,10.234356180826865,9.831953938802087
2017,9.532818094889365,10.243094380696618,9.829868570963583,10.119414265950525,9.958601888020837
2018,8.955359395345056,11.49396667480471,10.97088521321615,11.326905822753929,10.405704752604208
2019,9.786172485351585,10.478601074218773,9.43787790934249,10.999920145670615,9.917749023437523
2020,10.985505676269554,11.872575378417991,9.033308919270837,11.86421610514327,9.252547200520837
2021,9.692773437500023,11.137061055501306,9.701249694824241,13.009889221191429,10.705224609375023
2022,10.249528503417991,12.028517659505212,9.234302775065146,11.27387390136721,10.314152018229208
2023,10.194118754069052,11.27973327636721,9.904501851399743,12.666230773925804,8.951745605468773
2024,11.025931294759118,12.773472086588583,10.032833353678427,11.824581400553427,8.778426106770837
2025,10.882920837402366,11.124233500162802,9.973232523600302,11.137228902180993,12.088993326822958
2026,10.781851704915368,12.273011779785179,11.00209452311202,11.810817972819052,10.900557454427087
2027,10.387172953287802,11.067458089192712,10.270898437500023,12.499859110514365,9.434879557291708
2028,9.738577779134118,11.84870554606124,9.808930969238304,12.121359761555993,9.606958007812523
2029,11.556357320149743,12.3033437093099,10.538977559407556,10.44672546386721,12.258203125000023
2030,10.283362325032556,11.620268758138025,10.327348327636741,10.991548156738304,10.774051920572958
2031,10.91230417887374,13.693513488769554,9.389039611816429,11.24427439371749,12.146447753906273
2032,12.262188212076865,13.910333251953148,9.60596872965499,12.11322682698568,11.585168457031273
2033,11.876865641276083,12.518271382649743,10.219071960449241,11.88837585449221,12.088444010416708
2034,11.620100911458337,12.741782124837243,10.47235005696615,12.021905517578148,9.881392415364587
2035,11.93396911621096,13.22633768717452,10.320802307128929,10.704393005371116,9.750044759114587
2036,11.091798400878929,12.255049641927087,9.420289611816429,10.932295735677087,12.868717447916708
2037,11.94293874104818,12.849020894368493,10.919984436035179,11.826979573567712,12.357303873697958
2038,11.61695251464846,12.292108154296898,10.190614318847679,12.990996297200525,11.624719238281273
2039,11.709881083170615,11.991448974609398,10.433312988281273,10.764581298828148,11.901106770833337
2040,11.81390279134115,12.09686940511068,10.974122619628929,12.495072937011741,12.123417154947958
2041,12.331849670410179,13.050027465820335,9.54871775309249,12.574380493164085,11.676314290364587
2042,12.265590922037802,12.94146626790365,10.73297780354818,12.859173075358115,12.347375488281273
2043,11.89832712809249,12.299666341145837,11.342619832356775,11.777393595377646,10.406538899739587
2044,11.502341206868493,12.160755411783896,10.958268737792991,12.588883972167991,11.406335449218773
2045,11.587403869628929,10.147640482584677,10.30006815592452,12.397879536946618,12.150109863281273
2046,12.22822977701827,13.111146545410179,10.724354044596396,13.677028910319052,11.452498372395837
2047,12.67146708170577,13.24939880371096,9.979269917805993,12.849783833821618,11.739546712239587
2048,13.976803080240927,14.190395609537802,11.443879699707054,12.84368794759115,12.486006673177087
2049,12.124464925130212,12.598123168945335,10.872916158040368,11.90491638183596,11.968204752604208
2050,11.53754323323568,13.574367777506552,11.207175191243493,12.82667185465499,11.917769368489587
2051,12.162131245930993,12.4395741780599,11.216294860839866,12.880921936035179,12.786401367187523
2052,13.323683675130212,12.813236490885458,11.306522623697958,12.918501790364587,12.346541341145837
